Q#,Year,Question,Marks
1,2018,"How are the principles followed by NITI Aayog different from those followed by the erstwhile planning commission in India?",15
2,2020,"Define potential GDP and explain its determinants. What are the factors that have been inhibiting India from realizing its potential GDP?",10
3,2021,"Explain the difference between computing methodology of India’s Gross Domestic Product (GDP) before the year 2015 and after the year 2015.",10
4,2023,"Most of the unemployment in India is structural in nature. Examine the methodology adopted to compute unemployment in the country and suggest improvements.",15
5,2023,"Distinguish between ‘care economy’ and ‘monetized economy’. How can care economy be brought into monetized economy through women empowerment?",15
6,2018,"How would the recent phenomena of protectionism and currency manipulations in world trade affect macroeconomic stability of India?",15
7,2019,"Do you agree with the view that steady GDP growth and low inflation have left the Indian economy in good shape? Give reasons in support of your arguments.",10
8,2022,"Economic growth in the recent past has been led by increase in labour activity.” Explain this statement. Suggest the growth pattern that will lead to creation of more jobs without compromising labour productivity.",15
9,2025,"What are the challenges before the Indian economy when the world is moving away from free trade and multilateralism to protectionism and bilateralism? How can these challenges be met?",10
10,2019,"It is argued that the strategy of inclusive growth is intended to meet the objectives of inclusiveness and sustainability together. Comment on this statement.",15
11,2020,"Explain intra-generational and inter-generational issues of equity from the perspective of inclusive growth and sustainable development.",10
12,2022,"Is inclusive growth possible under market economy ? State the significance of financial inclusion in achieving economic growth in India.",10
13,2022,"The increase in life expectancy in the country has led to newer health challenges in the community. What are those challenges and what steps need to be taken to meet them?",10
14,2024,"Examine the (pattern) and trend of public expenditure on social services in the post-reforms period in India. To what extent this has been in consonance with achieving the objective of inclusive growth?",10
15,2025,"Distinguish between the Human Development Index (HDI) and the Inequality-adjusted Human Development Index (IHDI) with special reference to India. Why is the IHDI considered a better indicator of inclusive growth?",10
16,2019,"Enumerate the indirect taxes which have been subsumed in the goods and services tax (GST) in India. Also, comment on the revenue implications of the GST introduced in India since July 2017.",10
17,2019,"The public expenditure management is a challenge to the Government of India in the context of budget making during the post liberalization period. Clarify it.",15
18,2020,"Explain the rationale behind the Goods and Services Tax (Compensation to States) Act of 2017. How has COVID-19 impacted the GST compensation fund and created new federal tensions?",15
19,2021,"Distinguish between Capital Budget and Revenue Budget. Explain the components of both these Budgets.",10
20,2025,"Explain how the Fiscal Health Index (FHI) can be used as a tool for assessing the fiscal performance of states in India. In what way would it encourage the states to adopt prudent and sustainable fiscal policies?",15
